Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Desativada
Data Inicial: 2009-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2009-01-01;8.2;null;0;31.4;25.5;21.1;69.3;48;.3;
2009-01-02;6.7;null;0;33;26.5;21.3;64.5;50;.3;
2009-01-03;6.9;null;4.6;30.6;23.6;20.1;80.3;59;.8;
2009-01-04;3.8;null;1.6;29;23;20.1;84.3;62;.5;
2009-01-05;2.9;null;60;26.2;22.2;18.5;80;69;.3;
2009-01-06;3.4;null;0;30;24.5;19.1;67;53;.2;
2009-01-07;5.9;null;0;31.2;25.1;20.1;69.8;56;.5;
2009-01-08;6.9;null;7;30.4;24.9;19.9;73;58;1.2;
2009-01-09;6.3;null;0;31.2;25.6;21.7;71;60;.3;
2009-01-10;6.5;null;0;30.2;25;20.9;60.5;46;.5;
2009-01-11;9.2;null;0;30.8;24.9;20.1;59.5;45;.7;
2009-01-12;8;null;0;31.8;25.6;20.1;66.8;53;.8;
2009-01-13;8.5;null;.5;32.2;26.6;20.9;58.8;47;1;
2009-01-14;9.5;null;0;32.4;26.6;21.5;55.3;42;1.3;
2009-01-15;10.6;null;0;32.2;26.8;21.1;53.3;42;.7;
2009-01-16;14;null;0;32;25.1;21.5;70.5;45;.5;
2009-01-17;6.4;null;2.6;30.8;24.2;20.1;73.3;54;2.2;
2009-01-18;6.2;null;3;31.2;23.7;19.9;83.8;73;1;
2009-01-19;3.5;null;10.3;31;25;19.3;71.8;50;.5;
2009-01-20;5.7;null;13.7;27.6;23.2;20.7;84.8;73;.5;
2009-01-21;2.7;null;2.3;29.2;23.2;20.1;86;66;.5;
2009-01-22;2.5;null;6.6;29.4;23.7;20.9;81.3;59;0;
2009-01-23;2.4;null;20.4;30;23.2;19.7;81;57;1;
2009-01-24;4.3;null;36.4;29;23.3;20.1;83.5;71;1;
2009-01-25;3.1;null;148.7;29.6;22.9;18.7;82.8;63;0;
2009-01-26;3.6;null;4.9;28.6;23.2;19.1;78;60;1.2;
2009-01-27;4.5;null;2.8;29.4;22.5;19.5;84;66;.8;
2009-01-28;3;null;57.7;30.2;24.8;19.1;77.3;58;.8;
2009-01-29;5.6;null;0;31.2;25.8;21.1;68.8;54;.8;
2009-01-30;6.9;null;0;32.2;26.5;21.7;64.3;51;1.2;
2009-01-31;8.5;null;0;32.8;26.7;22.7;66.5;50;.2;
2009-02-01;9;null;0;33.2;25.7;21.1;71.3;52;1.2;
2009-02-02;8.4;null;21.8;30.4;25;21.7;72.5;67;2.1;
2009-02-03;6.6;null;0;31.2;26.3;21.7;63.3;51;.2;
2009-02-04;8.8;null;0;31.8;26.5;22.5;59.3;45;.3;
2009-02-05;9.4;null;0;32;26.9;22.9;63.3;53;.5;
2009-02-06;8.2;null;0;31.2;25.9;22.3;69.8;63;.8;
2009-02-07;6.2;null;0;31.8;26.6;21.7;66;58;.7;
2009-02-08;6.4;null;8.7;30;23.6;19.9;78;58;1.2;
2009-02-09;4.4;null;5.9;31;25;19.7;74.3;51;.2;
2009-02-10;5;null;7.1;31.2;24.4;19.7;78;57;1.2;
2009-02-11;5.9;null;0;32.2;26.5;21.5;68.8;54;.5;
2009-02-12;7;null;0;31.2;26.1;22.5;69.8;56;0;
2009-02-13;5.8;null;19.4;28.6;22.7;20.3;82;67;.5;
2009-02-14;2.7;null;9.6;25.2;22.3;20.1;89;79;1;
2009-02-15;1.9;null;17.8;26;22.9;19.3;84.3;75;1.2;
2009-02-16;3.9;null;0;29.8;24.2;19.7;71;55;1;
2009-02-17;6.7;null;0;31.4;25.8;21.3;58.3;45;.7;
